"Data","Último","Abertura","Máxima","Mínima","Vol.","Var%"
"12.11.2024","921,04","926,17","930,31","917,69","","-0,55%"
"11.11.2024","926,12","920,55","930,99","913,73","","0,62%"
"08.11.2024","920,40","928,94","928,94","908,50","","-0,92%"
"07.11.2024","928,94","938,31","956,60","921,79","","-1,00%"
"06.11.2024","938,31","944,48","944,48","917,09","","-0,67%"
"05.11.2024","944,65","944,88","950,98","933,79","","-0,02%"
"04.11.2024","944,85","916,39","949,54","916,39","","3,10%"
"01.11.2024","916,41","935,74","937,30","916,09","","-2,06%"
"31.10.2024","935,72","939,94","946,59","934,02","","-0,46%"
"30.10.2024","940,01","926,08","943,69","926,08","","1,50%"
"29.10.2024","926,08","928,32","935,68","921,71","","-0,24%"
"28.10.2024","928,32","922,92","937,13","922,88","","0,60%"
"25.10.2024","922,81","929,43","938,43","920,22","","-0,77%"
"24.10.2024","929,95","922,08","932,11","911,35","","0,85%"
"23.10.2024","922,08","918,75","922,08","910,24","","0,32%"
"22.10.2024","919,13","935,39","935,39","913,91","","-1,74%"
"21.10.2024","935,43","932,24","939,43","932,04","","0,35%"
"18.10.2024","932,18","937,62","948,23","929,62","","-0,58%"
"17.10.2024","937,58","945,11","945,11","923,22","","-0,80%"
"16.10.2024","945,11","937,59","955,62","933,60","","0,80%"
"15.10.2024","937,59","930,50","944,36","930,50","","0,76%"
"14.10.2024","930,50","919,03","934,96","914,98","","1,25%"
"11.10.2024","919,03","930,99","930,99","916,01","","-1,29%"
"10.10.2024","931,03","926,45","934,09","924,37","","0,50%"
"09.10.2024","926,44","942,48","945,07","923,24","","-1,70%"
"08.10.2024","942,48","937,89","947,95","925,69","","0,49%"
"07.10.2024","937,91","932,08","941,72","924,93","","0,64%"
"04.10.2024","931,91","923,63","932,24","917,75","","0,90%"
"03.10.2024","923,63","933,20","933,53","912,30","","-1,10%"
"02.10.2024","933,91","914,11","939,99","914,11","","2,17%"
"01.10.2024","914,11","904,97","924,06","904,97","","1,01%"
"30.09.2024","904,93","909,54","909,54","898,18","","-0,35%"
"27.09.2024","908,08","913,17","923,29","907,68","","-0,55%"
"26.09.2024","913,14","910,77","921,07","908,40","","0,29%"
"25.09.2024","910,50","920,35","927,49","908,95","","-1,07%"
"24.09.2024","920,35","915,03","931,06","913,23","","0,56%"
"23.09.2024","915,18","929,03","929,03","904,72","","-1,49%"
"20.09.2024","929,05","957,28","959,34","924,85","","-2,97%"
"19.09.2024","957,47","977,28","981,05","957,14","","-2,03%"
"18.09.2024","977,28","975,82","991,83","972,25","","0,15%"
