"Data","Último","Abertura","Máxima","Mínima","Vol.","Var%"
"12.11.2024","5,66","5,57","5,66","5,53","331,60K","0,89%"
"11.11.2024","5,61","5,49","5,73","5,49","698,60K","1,45%"
"08.11.2024","5,53","5,50","5,62","5,32","739,90K","0,55%"
"07.11.2024","5,50","5,51","5,65","5,33","1,02M","-1,26%"
"06.11.2024","5,57","5,49","5,60","5,36","809,20K","0,54%"
"05.11.2024","5,54","5,48","5,57","5,36","537,20K","1,47%"
"04.11.2024","5,46","5,19","5,46","5,19","468,90K","5,00%"
"01.11.2024","5,20","5,31","5,34","5,20","308,20K","-1,70%"
"31.10.2024","5,29","5,35","5,47","5,29","418,70K","-2,04%"
"30.10.2024","5,40","5,35","5,48","5,35","415,90K","1,69%"
"29.10.2024","5,31","5,39","5,46","5,31","476,80K","-1,85%"
"28.10.2024","5,41","5,27","5,46","5,23","664,40K","2,66%"
"25.10.2024","5,27","5,25","5,31","5,21","636,40K","0,00%"
"24.10.2024","5,27","5,17","5,27","5,11","663,70K","1,54%"
"23.10.2024","5,19","5,20","5,24","5,17","262,40K","-0,76%"
"22.10.2024","5,23","5,21","5,32","5,17","539,40K","-0,57%"
"21.10.2024","5,26","5,28","5,29","5,19","543,40K","-0,38%"
"18.10.2024","5,28","5,25","5,30","5,16","532,00K","0,38%"
"17.10.2024","5,26","5,23","5,31","5,18","727,70K","-0,75%"
"16.10.2024","5,30","5,14","5,30","5,06","1,08M","5,16%"
"15.10.2024","5,04","5,02","5,14","5,02","603,40K","0,40%"
"14.10.2024","5,02","4,90","5,11","4,90","404,50K","1,83%"
"11.10.2024","4,93","4,92","4,97","4,85","214,10K","0,41%"
"10.10.2024","4,91","4,86","4,92","4,84","378,20K","0,82%"
"09.10.2024","4,87","4,90","4,91","4,81","336,30K","-0,81%"
"08.10.2024","4,91","4,89","4,97","4,83","764,00K","-0,41%"
"07.10.2024","4,93","4,94","5,01","4,90","790,50K","-0,20%"
"04.10.2024","4,94","4,95","5,02","4,89","357,20K","-1,20%"
"03.10.2024","5,00","4,92","5,00","4,84","498,40K","-1,38%"
"02.10.2024","5,07","5,00","5,08","4,95","290,00K","3,89%"
"01.10.2024","4,88","4,81","5,04","4,81","889,70K","0,83%"
"30.09.2024","4,84","4,81","4,96","4,80","466,90K","0,00%"
"27.09.2024","4,84","4,85","4,95","4,84","245,80K","-0,62%"
"26.09.2024","4,87","4,84","4,92","4,82","338,90K","0,62%"
"25.09.2024","4,84","4,83","4,88","4,76","822,10K","0,21%"
"24.09.2024","4,83","4,87","4,97","4,83","619,30K","-0,41%"
"23.09.2024","4,85","4,86","4,94","4,81","353,60K","-1,02%"
"20.09.2024","4,90","5,09","5,12","4,88","1,82M","-4,30%"
"19.09.2024","5,12","5,19","5,27","5,11","630,30K","-2,10%"
"18.09.2024","5,23","5,12","5,29","5,07","966,50K","2,15%"
"17.09.2024","5,12","4,90","5,12","4,90","567,30K","3,64%"
"16.09.2024","4,94","4,85","4,98","4,81","386,80K","1,65%"
"13.09.2024","4,86","4,69","4,87","4,69","610,10K","5,19%"
"12.09.2024","4,62","4,65","4,65","4,62","170,10K","-0,43%"
"11.09.2024","4,64","4,67","4,68","4,61","169,60K","0,22%"
"10.09.2024","4,63","4,64","4,67","4,60","204,50K","-1,07%"
"09.09.2024","4,68","4,62","4,69","4,59","366,70K","0,86%"
"06.09.2024","4,64","4,67","4,75","4,62","494,00K","-1,69%"
"05.09.2024","4,72","4,74","4,75","4,61","296,80K","-0,42%"
"04.09.2024","4,74","4,57","4,78","4,57","520,30K","3,95%"
"03.09.2024","4,56","4,57","4,65","4,56","303,00K","-0,44%"
"02.09.2024","4,58","4,61","4,62","4,55","307,10K","-0,87%"
"30.08.2024","4,62","4,62","4,67","4,57","345,60K","0,00%"
"29.08.2024","4,62","4,66","4,69","4,60","447,40K","-1,70%"
"28.08.2024","4,70","4,71","4,75","4,65","227,10K","-1,05%"
"27.08.2024","4,75","4,75","4,79","4,68","152,10K","0,00%"
"26.08.2024","4,75","4,80","4,84","4,68","288,00K","-1,04%"
"23.08.2024","4,80","4,65","4,81","4,65","352,10K","3,45%"
"22.08.2024","4,64","4,82","4,86","4,64","382,80K","-2,93%"
"21.08.2024","4,78","5,01","5,05","4,78","459,10K","-5,16%"
"20.08.2024","5,04","4,89","5,09","4,89","666,20K","2,86%"
"19.08.2024","4,90","4,68","4,95","4,62","670,60K","4,48%"
"16.08.2024","4,69","4,79","4,81","4,65","466,10K","-2,29%"
"15.08.2024","4,80","4,72","4,83","4,65","681,90K","1,91%"
"14.08.2024","4,71","4,83","4,83","4,46","1,29M","-1,88%"
"13.08.2024","4,80","4,83","4,87","4,73","453,30K","0,42%"
"12.08.2024","4,78","4,83","4,90","4,76","307,00K","-0,21%"
"09.08.2024","4,79","4,72","4,83","4,71","743,20K","1,48%"
"08.08.2024","4,72","4,76","4,77","4,69","164,80K","1,07%"
"07.08.2024","4,67","4,56","4,72","4,56","221,70K","2,41%"
"06.08.2024","4,56","4,67","4,72","4,55","348,60K","-1,30%"
"05.08.2024","4,62","4,70","4,73","4,55","654,90K","-3,35%"
"02.08.2024","4,78","4,92","4,97","4,77","459,20K","-0,62%"
"01.08.2024","4,81","4,82","4,98","4,78","280,70K","-0,82%"
"31.07.2024","4,85","4,75","4,89","4,75","322,10K","2,75%"
"30.07.2024","4,72","4,89","4,89","4,70","660,50K","-3,48%"
